,0,1,2,3,4,5,6,7,8
avg,0.042858,0.043008,0.042755,0.04284,0.043026,0.042694,0.04294,0.042776,0.042876
max,0.04347,0.043398,0.042983,0.043216,0.043815,0.043201,0.043244,0.043174,0.043265
min,0.042492,0.04252,0.042563,0.042605,0.042556,0.042509,0.042557,0.042526,0.042596
