,0,1,2,3,4,5,6,7,8
avg,0.028404,0.028435,0.028443,0.02847,0.028492,0.02852,0.028553,0.02856,0.028581
max,0.02845,0.028484,0.028459,0.028513,0.028514,0.028544,0.028602,0.028583,0.028606
min,0.02837,0.028389,0.028419,0.028409,0.028454,0.028498,0.028529,0.02853,0.028554
