,0,1,2,3,4,5,6,7,8
avg,0.031148,0.031348,0.031096,0.031093,0.031115,0.031064,0.031178,0.031084,0.03113
max,0.031293,0.032434,0.031204,0.031196,0.031233,0.031128,0.031312,0.031208,0.031278
min,0.031059,0.031044,0.030988,0.031013,0.030973,0.030972,0.031049,0.030996,0.031011
